name,followers_count,friends_count
Donald J. Trump,31712585,45
President Trump,18545354,41
Bernie Sanders,5072538,2009
Cory Booker,3094413,92934
Marco Rubio,2554822,2451
Elizabeth Warren,2412087,259
John McCain,2274034,378
Nancy Pelosi,1126205,320
Jerry Brown,1119275,34
Senator Ted Cruz,960413,7479
Governor Christie,869256,618
John Kasich,755475,10072
Chuck Schumer,591618,26536
Senator Tim Kaine,553125,747
Trey Gowdy,552930,458
John Lewis,512433,163
Kirsten Gillibrand,396587,488
Maxine Waters,379015,647
Mike Lee,314821,2430
Rep. Keith Ellison,313271,6487
Andrew Cuomo,311098,596
Adam Schiff,298997,978
Scott Walker,274914,199
Jason Chaffetz,269462,1430
Darrell Issa,266195,34599
Leader McConnell,258811,92
Chris Murphy,250064,169
Tim Scott,220205,3952
Sen Dianne Feinstein,219148,199
Charlie Baker,209707,11114
Claire McCaskill,181655,21
Amy Klobuchar,170717,91751
Sen. Al Franken,158494,1079
Senator Bob Casey,152528,528
Senator Dick Durbin,148683,2440
Mark Warner,130502,11655
ChuckGrassley,125662,14189
Justin Amash,124459,5375
Rep. Barbara Lee,121154,16415
Senator Ben Cardin,119752,1487
Senator Jeff Merkley,119680,678
Governor Dan Malloy,116249,874
Sherrod Brown,115080,172
Lindsey Graham,112365,2121
Gov. Greg Abbott,109756,4607
Kevin McCarthy,109212,1379
Senator Patty Murray,108762,2165
Ron Wyden,106301,389
JohnCornyn,105623,11051
Elijah E. Cummings,104521,1611
Senator Bob Menendez,99615,741
Richard Blumenthal,97844,993
Ileana Ros-Lehtinen,95809,2180
Steny Hoyer,94320,4041
Senator Bob Corker,93693,550
Rep. Joe Kennedy III,92874,640
Rick Scott,91096,5609
Sen. Susan Collins,85973,953
Rep. Eric Swalwell,85179,6717
Kamala Harris,80273,401
Sen. Patrick Leahy,80221,2011
Louie Gohmert,77754,636
Governor Mark Dayton,75992,5463
Joaquin Castro,75940,928
Senator John Thune,75383,324
Senator Joe Manchin,73740,622
Rep. Tulsi Gabbard,72270,1125
Senator Pat Toomey,71131,1042
Gov. Bill Haslam,70622,7851
Richard Burr,70316,1839
Tammy Duckworth,68431,8264
Tom Cotton,68048,376
Luis V. Gutierrez,65772,1389
Senator Ben Sasse,64317,1
Sen. Lisa Murkowski,63304,542
Governor Rick Snyder,61559,511
Senator Roy Blunt,61548,7164
Sen. Maria Cantwell,61357,1498
Bill Nelson,60822,101
Ed Markey,59842,984
Sheldon Whitehouse,59642,1503
Senator Ron Johnson,59089,246
Terry McAuliffe,56096,357
Jeff Flake,55422,211
Sen. Lamar Alexander,54887,426
Senator Chris Coons,54303,2188
Rep. Jim Jordan,53988,5233
Jackie Speier,53589,22246
Chris Van Hollen,52733,646
Steve King,52073,125
Tom Udall,52013,337
Sen. John Barrasso,51751,501
Michael F. Bennet,51410,235
Senator Tom Carper,50676,1071
Sen. Jeanne Shaheen,50556,5536
James E. Clyburn,50360,1262
Jim Himes,49769,419
Martin Heinrich,49294,433
Congressmember Bass,49122,14576
Senator Joe Donnelly,49089,213
