hashtag,count
obamacare,14058
tcot,8717
aca,6213
sotu,6114
veterans,5072
scotus,5014
trumpcare,4887
utpol,4816
mepolitics,4699
jobs,4664
smallbiz,4619
gop,4565
4jobs,3720
irs,3257
tbt,3228
immigration,3019
ia03,2751
zika,2695
ff,2638
doyourjob,2561
iran,2515
actonclimate,2513
irandeal,2502
keystonexl,2425
lgbt,2189
raisethewage,2184
betterway,2148
stem,2100
equalpay,2091
benghazi,2040
disarmhate,2021
climatechange,1946
wv,1937
nobillnobreak,1883
budget,1854
syria,1800
ncpol,1771
memorialday,1734
veteransday,1725
lagov,1705
p2,1688
isis,1674
healthcare,1668
ahca,1661
sctweets,1658
epa,1642
energy,1642
idpol,1634
gopshutdown,1587
va,1572
va10,1529
gunviolence,1516
renewui,1484
southjersey,1453
mtpol,1444
congress,1434
potus,1433
icymi,1433
ndaa,1427
netde,1391
getcovered,1390
senate,1386
neverforget,1376
farmbill,1322
medicare,1318
protectourcare,1303
arpx,1290
exim4jobs,1276
obama,1265
ar4,1261
prolife,1254
equalpayday,1253
mentalhealth,1251
israel,1230
wotus,1216
socialsecurity,1210
ri,1201
cuba,1183
endalz,1181
cir,1179
texas,1167
womensucceed,1164
ksleg,1163
sayfie,1154
gapol,1140
az,1128
mapoli,1110
bringbackourgirls,1088
mdayton,1083
muslimban,1079
trumprussia,1065
vets,1051
curesnow,1050
netneutrality,1041
flintwatercrisis,1015
nv,1001
ar3,1000
alpolitics,999
tpp,990
plannedparenthood,987
medicaid,976
education,970
paymoreforless,967
otd,966
earthday,961
womenshistorymonth,952
nm,948
tx23,943
ncsen,935
trump,934
acaworks,931
parisagreement,926
russia,910
ia01,902
jointaddress,898
taxreform,885
ct,883
restorethevra,877
brownback,877
standwithpp,871
cures2015,870
ohsen,860
cybersecurity,859
sandy,849
timetobuild,849
flint,844
blackhistorymonth,841
dc,839
mnleg,837
weareky,837
gitmo,829
middleclassfirst,821
bettermn,819
trumpcuts,809
copolitics,801
ohio,792
hcr,791
taxday,790
iasen,789
onthisday,782
noflynobuy,779
lwcf,778
findyourpark,778
usa,776
bipartisan,776
dontshutdownoursecurity,766
pjnet,759
lalege,754
immigrationreform,753
mlkday,745
va06,744
nj,741
brokenpromises,736
timeisnow,733
ne03,733
alaska,729
tn04,726
daca,721
townhall,716
mn03,715
marchmadness,715
ny21,704
opioid,699
ebola,697
askdems,696
txgop,695
manufacturing,683
gopdebate,679
va01,679
sofla,679
paidleave,679
cleanpowerplan,678
economy,672
vawa,666
queens,662
infrastructure,662
breaking,658
pa11,658
dontdoublemyrate,656
twill,651
jointsession,645
gopbudget,644
agriculture,641
gasen,641
tpa,636
exim,636
utah,635
hawaii,633
enough,632
tn03,627
dday,626
orlando,625
innovation,625
teamusa,623
ag,618
military,617
holdthefloor,616
equality,615
makeamericasickagain,605
nsa,605
nepa,605
shutdown,604
ukraine,600
txcot,600
latism,599
ar1,597
arizona,595
trade,591
doddfrank,588
maga,588
followthefacts,586
tn,585
iagov,584
michigan,584
veteran,584
essa,582
nobannowall,574
stribpol,573
periscope,572
colorado,572
smallbusiness,571
restorethevote,565
makeitinamerica,565
higov,563
wrrda,562
popeindc,561
tx,558
trumpbudget,556
walker16,555
mi08,553
endgunviolence,551
highered,547
lasen,543
oh14,542
nps100,541
transportation,539
snap,536
repealandreplace,534
roc,534
vt,533
mtleg,532
arnews,532
endtrafficking,530
smallbusinessweek,529
argov,525
rio2016,522
trump100days,520
lastsotu,515
az05,515
humantrafficking,511
wwii,510
newvaeconomy,510
in08,505
ny27,504
pearlharbor,500
opioidepidemic,499
balancedbudget,497
thanksgiving,497
zikavirus,497
futureforum,496
chibokgirls,496
nj03,492
stopgunviolence,488
laflood,487
teaparty,487
womensequalityday,487
mlk,486
nomoresilence,485
yes2energy,481
isil,480
oh16,477
constitution,474
wvpol,473
chicago,473
internationalwomensday,472
tsca,472
greatlakes,472
fastandfurious,470
wagov,469
fy17ndaa,469
politics,469
schoolchoice,468
shopsmall,468
az07,467
hurricanematthew,462
keystone,462
dfw,461
bankonstudents,460
marchforlife,459
montana,458
laborday,454
dreamers,453
tn06,452
hr2646,447
trainwreck,445
nationalpoliceweek,442
mothersday,442
house,442
fairnessforall,439
equalityact,439
fiscalcliff,437
debt,437
gagop,435
congressionalartcompetition,435
tx32,432
sequester,431
arkansas,429
ky6,427
faa,426
memphis,425
path2cures,425
humanrights,424
bokoharam,424
cleanenergy,421
lgbtq,420
ny,420
hasc,415
thankateacher,414
iraq,413
negov,412
venezuela,408
inauguration,408
vaaccountability,406
constitutionday,406
resolutionofinquiry,405
indy,405
dhs,404
draintheswamp,404
votingrights,402
ma,402
equalityforward,402
txlege,401
climate,401
protectourdemocracy,398
senatemustact,397
ca08,395
2a,394
ma09,392
northkorea,391
florida,390
aumf,390
womensmarch,390
wi,389
tx33,389
immigrationaction,388
il05,388
marriageequality,387
pa,386
afghanistan,386
masen,385
pa06,384
coal,384
notmybossbusiness,384
4thofjuly,381
nyc,380
fy16ndaa,379
nevada,377
water,377
flagday,374
ms01,373
throwbackthursday,372
gorsuch,372
al03,370
sessions,367
tpa4usjobs,363
nationaldayofprayer,363
tech,361
akleg,360
policeweek,357
insen,356
independenceday,356
northdakota,354
sasc,354
vra,353
mogov,351
hobbylobby,351
defundpp,349
ma6,349
nc10,349
reinsact,348
