name,created_at,tweet,likes
Bernie Sanders,2017-01-21 22:15:24,"President Trump, you made a big mistake. By trying to divide us up by race, religion, gender and nationality you actually brought us closer.",984832
Donald J. Trump,2016-11-09 11:36:58,Such a beautiful and important evening! The forgotten man and woman will never be forgotten again. We will all come together as never before,627475
Donald J. Trump,2016-11-08 11:43:14,TODAY WE MAKE AMERICA GREAT AGAIN!,569283
Bernie Sanders,2017-02-25 13:56:12,.@realDonaldTrump They did. It wasn't.,527319
Donald J. Trump,2017-01-22 14:23:17,"Peaceful protests are a hallmark of our democracy. Even if I don't always agree, I recognize the rights of people to express their views.",392346
Donald J. Trump,2016-12-31 13:17:21,"Happy New Year to all, including to my many enemies and those who have fought me and lost so badly they just don't know what to do. Love!",347262
Senator Bob Menendez,2017-03-24 19:53:43,"Hey Republicans, don't worry, that burn is covered under the Affordable Care Act",315624
Donald J. Trump,2017-01-21 04:56:15,"THANK YOU for another wonderful evening in Washington, D.C. TOGETHER, we will MAKE AMERICA GREAT AGAIN🇺🇸",291081
Donald J. Trump,2016-06-09 20:40:32,"How long did it take your staff of 823 people to think that up--and where are your 33,000 emails that you deleted?",289727
Donald J. Trump,2017-01-20 12:31:53,It all begins today! I will see you at 11:00 A.M. for the swearing-in. THE MOVEMENT CONTINUES - THE WORK BEGINS!,269437
Donald J. Trump,2017-02-06 03:36:54,"What an amazing comeback and win by the Patriots. Tom Brady, Bob Kraft and Coach B are total winners. Wow!",268827
Donald J. Trump,2017-06-03 23:24:45,"Whatever the United States can do to help out in London and the U. K., we will be there - WE ARE WITH YOU. GOD BLESS!",260576
Donald J. Trump,2017-02-04 14:26:10,MAKE AMERICA GREAT AGAIN!,257276
Donald J. Trump,2017-02-01 12:50:16,"Everybody is arguing whether or not it is a BAN. Call it what you want, it is about keeping bad people (with bad intentions) out of country!",253575
Donald J. Trump,2017-02-01 03:45:26,"Hope you like my nomination of Judge Neil Gorsuch for the United States Supreme Court. He is a good and brilliant man, respected by all.",251971
Bernie Sanders,2016-11-10 18:43:49,"If Donald Trump takes people's anger and turns it against Muslims, Hispanics, African Americans and women, we will be his worst nightmare.",251404
Donald J. Trump,2017-02-20 14:33:33,HAPPY PRESIDENTS DAY - MAKE AMERICA GREAT AGAIN!,243755
Donald J. Trump,2016-07-20 15:36:06,The media is spending more time doing a forensic analysis of Melania's speech than the FBI spent on Hillary's emails.,242921
Donald J. Trump,2017-06-04 11:19:47,We must stop being politically correct and get down to the business of security for our people. If we don't get smart it will only get worse,239032
