name,tweet,created_at,retweets,likes
Bernie Sanders,"President Trump, you made a big mistake. By trying to divide us up by race, religion, gender and nationality you actually brought us closer.",2017-01-21 22:15:24,461733,984832
Donald J. Trump,TODAY WE MAKE AMERICA GREAT AGAIN!,2016-11-08 11:43:14,340294,569283
Donald J. Trump,Such a beautiful and important evening! The forgotten man and woman will never be forgotten again. We will all come together as never before,2016-11-09 11:36:58,217557,627475
Bernie Sanders,.@realDonaldTrump They did. It wasn't.,2017-02-25 13:56:12,210229,527319
Donald J. Trump,"How long did it take your staff of 823 people to think that up--and where are your 33,000 emails that you deleted?",2016-06-09 20:40:32,162780,289727
Senator Bob Menendez,"Hey Republicans, don't worry, that burn is covered under the Affordable Care Act",2017-03-24 19:53:43,146679,315624
Donald J. Trump,"Happy New Year to all, including to my many enemies and those who have fought me and lost so badly they just don't know what to do. Love!",2016-12-31 13:17:21,139326,347262
Bernie Sanders,"If Donald Trump takes people's anger and turns it against Muslims, Hispanics, African Americans and women, we will be his worst nightmare.",2016-11-10 18:43:49,134325,251404
Ron Wyden,Retweet if you care about @realDonaldTrump's tax returns,2017-01-11 16:40:05,120624,44577
Donald J. Trump,The media is spending more time doing a forensic analysis of Melania's speech than the FBI spent on Hillary's emails.,2016-07-20 15:36:06,116732,242921
Chris Murphy,Trump said yesterday no one cares about his tax returns. @RonWyden &amp; I have a bill requiring their release. Retweet this if you agree w us.,2017-01-12 15:18:54,110983,60514
Donald J. Trump,"Great to be in Riyadh, Saudi Arabia. Looking forward to the afternoon and evening ahead. #POTUSAbroad",2017-05-20 09:44:31,98533,104831
Donald J. Trump,Fidel Castro is dead!,2016-11-26 13:08:11,97831,207360
Donald J. Trump,"Who can figure out the true meaning of ""covfefe"" ??? Enjoy!",2017-05-31 10:09:22,85767,208309
Donald J. Trump,"Peaceful protests are a hallmark of our democracy. Even if I don't always agree, I recognize the rights of people to express their views.",2017-01-22 14:23:17,82017,392346
Bernie Sanders,Donald Trump and Republicans just celebrated voting to let thousands of Americans die so that billionaires get tax breaks. Think about that.,2017-05-04 20:15:32,81806,126740
Bernie Sanders,Where'd you get your PhD? Trump University?,2016-12-01 21:09:50,80462,160693
Kamala Harris,Retweet if you: -Have a preexisting condition -Love someone with a preexisting condition -Fear your insurance will be taken away #VoteNo,2017-05-04 15:47:31,77666,47620
Donald J. Trump,We must stop being politically correct and get down to the business of security for our people. If we don't get smart it will only get worse,2017-06-04 11:19:47,74988,239032
Donald J. Trump,"What an amazing comeback and win by the Patriots. Tom Brady, Bob Kraft and Coach B are total winners. Wow!",2017-02-06 03:36:54,73327,268827
John Lewis,Never have I seen legislative action that reveals such clear disdain for the human dignity of the most vulnerable among us.,2017-05-04 18:57:20,73039,129339
Donald J. Trump,"Nobody should be allowed to burn the American flag - if they do, there must be consequences - perhaps loss of citizenship or year in jail!",2016-11-29 11:55:13,72684,212902
Donald J. Trump,It all begins today! I will see you at 11:00 A.M. for the swearing-in. THE MOVEMENT CONTINUES - THE WORK BEGINS!,2017-01-20 12:31:53,70918,269437
John Lewis,"53 yrs ago today I was released from Parchman Penitentiary after being arrested in Jackson for using ""white"" restroom",2014-07-07 13:39:36,70700,51906
Maxine Waters,"I am a strong black woman. I cannot be intimidated, and I'm not going anywhere. #BlackWomenAtWork",2017-03-29 01:18:20,69732,194222
Donald J. Trump,"Just had a very open and successful presidential election. Now professional protesters, incited by the media, are protesting. Very unfair!",2016-11-11 02:19:44,68452,228884
Bernie Sanders,What I really like about Mr. Trump is how true to his word he always is.,2017-05-22 16:27:26,67980,146953
Donald J. Trump,"SEE YOU IN COURT, THE SECURITY OF OUR NATION IS AT STAKE!",2017-02-09 23:35:49,66820,237597
Donald J. Trump,MAKE AMERICA GREAT AGAIN!,2017-02-04 14:26:10,66511,257276
Donald J. Trump,"Whatever the United States can do to help out in London and the U. K., we will be there - WE ARE WITH YOU. GOD BLESS!",2017-06-03 23:24:45,65553,260576
Bernie Sanders,President Trump ignored the voices of millions and put the short-term profits of the fossil fuel industry ahead of the future of our planet.,2017-01-24 16:56:12,65234,98252
Donald J. Trump,"Iran is playing with fire - they don't appreciate how ""kind"" President Obama was to them. Not me!",2017-02-03 11:28:02,64337,174013
Elizabeth Warren,I will not be silent about a nominee for AG who has made derogatory &amp; racist comments that have no place in our justice system.,2017-02-08 01:29:59,64301,177946
Donald J. Trump,"At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ""no reason to be alarmed!""",2017-06-04 11:31:00,63676,160591
Donald J. Trump,The media has not reported that the National Debt in my first month went down by $12 billion vs a $200 billion increase in Obama first mo.,2017-02-25 13:19:18,62037,201949
Donald J. Trump,During my recent trip to the Middle East I stated that there can no longer be funding of Radical Ideology. Leaders pointed to Qatar - look!,2017-06-06 12:06:35,61542,46080
Bernie Sanders,Congratulations to the women marching today. We must go forward to ensure full reproductive justice for all women. #WomensMarch,2017-01-21 14:58:15,61127,189067
Donald J. Trump,"Everybody is arguing whether or not it is a BAN. Call it what you want, it is about keeping bad people (with bad intentions) out of country!",2017-02-01 12:50:16,60883,253575
Donald J. Trump,"January 20th 2017, will be remembered as the day the people became the rulers of this nation again.",2017-01-20 17:53:17,60831,219388
Donald J. Trump,If U.C. Berkeley does not allow free speech and practices violence on innocent people with a different point of view - NO FEDERAL FUNDS?,2017-02-02 11:13:13,60708,214963
Adam Schiff,The same WH that just agreed to sell your browsing history won't disclose visits to WH to protect privacy of lobbyists. Swamp wins again.,2017-04-14 21:06:49,60366,77563
Donald J. Trump,Christians in the Middle-East have been executed in large numbers. We cannot allow this horror to continue!,2017-01-29 15:03:58,59693,224960
Donald J. Trump,"We did it! Thank you to all of my great supporters, we just officially won the election (despite all of the distorted and inaccurate media).",2016-12-19 23:51:41,58432,220840
Donald J. Trump,MAKE AMERICA GREAT AGAIN!,2016-11-05 13:33:10,58180,114087
Chris Murphy,Law firm @POTUS used to show he has no ties to Russia was named Russia Law Firm of the Year for their extensive ties to Russia. Unreal.,2017-05-12 16:13:03,56747,81142
Donald J. Trump,"If Chicago doesn't fix the horrible ""carnage"" going on, 228 shootings in 2017 with 42 killings (up 24% from 2016), I will send in the Feds!",2017-01-25 02:25:40,56320,210322
Donald J. Trump,Love the fact that the small groups of protesters last night have passion for our great country. We will all come together and be proud!,2016-11-11 11:14:20,55070,219348
Donald J. Trump,We should start an immediate investigation into @SenSchumer and his ties to Russia and Putin. A total hypocrite!,2017-03-03 17:54:30,54751,150913
Donald J. Trump,"Kathy Griffin should be ashamed of herself. My children, especially my 11 year old son, Barron, are having a hard time with this. Sick!",2017-05-31 11:14:48,54623,195407
Donald J. Trump,"Big day planned on NATIONAL SECURITY tomorrow. Among many other things, we will build the wall!",2017-01-25 02:37:48,54267,194823
Donald J. Trump,"Venezuela should allow Leopoldo Lopez, a political prisoner &amp; husband of @liliantintori (just met w/ @marcorubio) out of prison immediately.",2017-02-15 23:59:26,54108,110746
Bernie Sanders,"I will be voting against Betsy DeVos for Secretary of Education. We must strengthen public education in America, not destroy it.",2017-01-26 17:35:08,54098,191177
John McCain,"What, did they want me to call him a crazy skinny kid?",2017-03-29 19:05:09,54020,110314
Donald J. Trump,"North Korea is looking for trouble. If China decides to help, that would be great. If not, we will solve the problem without them! U.S.A.",2017-04-11 12:03:43,53785,137061
