name,screen_name,followers_count,fav_avg,rt_avg
Donald J. Trump,realDonaldTrump,31712585,425497,126166
President Trump,POTUS,18545354,14914,91356
Dr. Roger Marshall,RogerMarshallMD,2339,78,49029
Senator Cortez Masto,SenCortezMasto,11746,121,47723
Rep. Ruben J. Kihuen,RepKihuen,6869,994,46988
Mark Takano,RepMarkTakano,37430,1745,19157
Elizabeth Warren,SenWarren,2412087,41648,16873
Marco Rubio,marcorubio,2554822,6871,15455
Rep. Don Beyer,RepDonBeyer,31002,1056,14763
Ann McLane Kuster,RepAnnieKuster,11221,84,12983
Cory Booker,CoryBooker,3094413,7185,12459
Rep. Kevin Yoder,RepKevinYoder,16774,52,11487
Adam Schiff,RepAdamSchiff,298997,12084,11284
Rep. Rick Larsen,RepRickLarsen,14659,118,9993
Raja Krishnamoorthi,CongressmanRaja,5136,585,9306
Brian Schatz,brianschatz,33198,1138,9084
John Lewis,repjohnlewis,512433,14061,8496
Jim Himes,jahimes,49769,387,8008
US Rep E.B.Johnson,RepEBJ,26410,107,7951
Chuck Schumer,SenSchumer,591618,7497,7813
Maxine Waters,MaxineWaters,379015,14318,7597
Chris Murphy,ChrisMurphyCT,250064,10354,6921
Rep. Keith Ellison,keithellison,313271,368,6896
Kamala Harris,SenKamalaHarris,80273,10832,6123
Sen. Patrick Leahy,SenatorLeahy,80221,364,6084
Jim Cooper,repjimcooper,15462,358,6049
Jim McGovern,RepMcGovern,32158,1064,6047
Senator Tim Kaine,timkaine,553125,10317,5655
Joaquin Castro,JoaquinCastrotx,75940,99,5523
Dwight Evans,RepDwightEvans,8573,63,5275
Nancy Pelosi,NancyPelosi,1126205,6308,5146
Rep. Eric Swalwell,RepSwalwell,85179,187,4944
D. Wasserman Schultz,RepDWStweets,9699,62,4845
Sen. Maria Cantwell,SenatorCantwell,61357,626,4654
Rep. Ed Perlmutter,RepPerlmutter,20987,105,4622
Pramila Jayapal,PramilaJayapal,22466,22,4534
Kirsten Gillibrand,SenGillibrand,396587,398,4515
Niki Tsongas,nikiinthehouse,17173,54,4458
Senator Ted Cruz,SenTedCruz,960413,301,4374
Rep. Val Demings,RepValDemings,3498,198,4374
Nanette D. Barragán,RepBarragan,4134,249,4288
David Cicilline,RepCicilline,7891,77,4213
Bernie Sanders,SenSanders,5072538,101879,4111
Donald Payne Jr.,RepDonaldPayne,8437,47,4024
US Rep. Al Lawson Jr,RepAlLawsonJr,1110,54,3904
Rep. Danny Davis,RepDannyDavis,6301,43,3779
Congressman Al Green,RepAlGreen,33042,1381,3754
Kathleen Rice,RepKathleenRice,8041,14,3741
Marcia L. Fudge,mlfudge,6827,68,3731
Rep. Jared Huffman,RepHuffman,16655,98,3497
Rep. Anna G. Eshoo,RepAnnaEshoo,25276,95,3377
Congressman Tim Ryan,RepTimRyan,43608,34,3339
US Rep Brendan Boyle,RepBrendanBoyle,9614,203,3298
Rep. Ted Deutch,RepTedDeutch,21138,241,3159
US Rep Kathy Castor,USRepKCastor,7810,72,3156
Rep. Pete Aguilar,RepPeteAguilar,5716,178,2983
Claire McCaskill,clairecmc,181655,1159,2964
Jan Schakowsky,janschakowsky,29629,245,2944
Tom Garrett,Rep_Tom_Garrett,2080,131,2926
Rosa DeLauro,rosadelauro,29104,126,2925
David E. Price,RepDavidEPrice,14009,203,2879
Ron Wyden,RonWyden,106301,2085,2756
(((Rep. Nadler))),RepJerryNadler,43871,1049,2556
Mark DeSaulnier,RepDeSaulnier,9602,38,2528
Steve Cohen,RepCohen,20204,143,2459
Ruben Gallego,RepRubenGallego,16981,326,2417
Rep. Zoe Lofgren,RepZoeLofgren,21425,87,2415
Chellie Pingree,chelliepingree,19166,161,2389
Congressman Tom Rice,RepTomRice,8376,37,2367
Rep. Ted Lieu,RepTedLieu,32996,588,2366
Rep. Lois Frankel,RepLoisFrankel,13606,94,2314
Governor Dan Malloy,GovMalloyOffice,116249,93,2261
Gregory Meeks,GregoryMeeks,19989,67,2252
