cohort_week,weekly_user_count,cumulative_user_count
2008-08-04T00:00:00.000+0000,1,1
2008-09-01T00:00:00.000+0000,1,2
2008-11-03T00:00:00.000+0000,1,3
2008-12-08T00:00:00.000+0000,1,4
2008-12-15T00:00:00.000+0000,1,5
2009-01-05T00:00:00.000+0000,3,8
2009-01-19T00:00:00.000+0000,3,11
2009-01-26T00:00:00.000+0000,2,13
2009-02-02T00:00:00.000+0000,3,16
2009-02-09T00:00:00.000+0000,1,17
2009-02-16T00:00:00.000+0000,1,18
2009-02-23T00:00:00.000+0000,2,20
2009-03-02T00:00:00.000+0000,3,23
2009-03-09T00:00:00.000+0000,2,25
2009-03-16T00:00:00.000+0000,3,28
2009-03-23T00:00:00.000+0000,3,31
2009-04-13T00:00:00.000+0000,1,32
2009-04-20T00:00:00.000+0000,2,34
2009-04-27T00:00:00.000+0000,2,36
2009-05-04T00:00:00.000+0000,1,37
2009-05-11T00:00:00.000+0000,1,38
2009-05-18T00:00:00.000+0000,2,40
2009-06-01T00:00:00.000+0000,1,41
2009-06-15T00:00:00.000+0000,2,43
2009-06-22T00:00:00.000+0000,2,45
2009-06-29T00:00:00.000+0000,1,46
2009-07-27T00:00:00.000+0000,1,47
2009-08-24T00:00:00.000+0000,2,49
2009-09-21T00:00:00.000+0000,4,53
2009-09-28T00:00:00.000+0000,3,56
2009-10-05T00:00:00.000+0000,1,57
2009-10-19T00:00:00.000+0000,1,58
2010-01-25T00:00:00.000+0000,1,59
2010-02-01T00:00:00.000+0000,1,60
2010-02-08T00:00:00.000+0000,1,61
2010-03-22T00:00:00.000+0000,1,62
2010-04-19T00:00:00.000+0000,3,65
2010-05-10T00:00:00.000+0000,1,66
2010-05-17T00:00:00.000+0000,1,67
2010-05-24T00:00:00.000+0000,2,69
2010-06-07T00:00:00.000+0000,1,70
2010-06-14T00:00:00.000+0000,2,72
2010-06-28T00:00:00.000+0000,2,74
2010-07-19T00:00:00.000+0000,1,75
2010-07-26T00:00:00.000+0000,1,76
2010-08-16T00:00:00.000+0000,1,77
2010-09-13T00:00:00.000+0000,1,78
2010-09-20T00:00:00.000+0000,1,79
2010-09-27T00:00:00.000+0000,2,81
2010-12-13T00:00:00.000+0000,1,82
2010-12-27T00:00:00.000+0000,1,83
2011-01-03T00:00:00.000+0000,7,90
2011-01-10T00:00:00.000+0000,1,91
2011-01-17T00:00:00.000+0000,6,97
2011-01-24T00:00:00.000+0000,4,101
2011-01-31T00:00:00.000+0000,2,103
2011-02-07T00:00:00.000+0000,3,106
2011-02-14T00:00:00.000+0000,3,109
2011-02-21T00:00:00.000+0000,2,111
2011-02-28T00:00:00.000+0000,1,112
2011-03-07T00:00:00.000+0000,2,114
2011-03-14T00:00:00.000+0000,1,115
2011-03-28T00:00:00.000+0000,1,116
2011-04-04T00:00:00.000+0000,1,117
2011-04-11T00:00:00.000+0000,1,118
2011-04-25T00:00:00.000+0000,1,119
2011-05-09T00:00:00.000+0000,3,122
2011-05-16T00:00:00.000+0000,2,124
2011-05-23T00:00:00.000+0000,3,127
2011-05-30T00:00:00.000+0000,1,128
2011-06-06T00:00:00.000+0000,1,129
